"filename", "language", "JSON", "JSON with Comments", "Markdown", "HTML", "JavaScript", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Frontend\Aurelia\Aurelia\src\config\Author.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 12, 88
"d:\Frontend\Aurelia\Aurelia\src\config\AuthorForAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\Frontend\Aurelia\Aurelia\src\config\AuthorForShop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 14, 50
"d:\Frontend\Aurelia\Aurelia\src\config\CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 3, 12, 145
"d:\Frontend\Aurelia\Aurelia\src\config\DashBoardShopContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 11, 181
"d:\Frontend\Aurelia\Aurelia\src\config\DiaChiContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 3, 11, 91
"d:\Frontend\Aurelia\Aurelia\src\config\FIlterProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 24, 195
"d:\Frontend\Aurelia\Aurelia\src\config\NotifycationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 22, 177
"d:\Frontend\Aurelia\Aurelia\src\config\SeasonContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"d:\Frontend\Aurelia\Aurelia\src\config\Store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 5, 68
"d:\Frontend\Aurelia\Aurelia\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 5, 58
"d:\Frontend\Aurelia\Aurelia\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 2, 54
"d:\Frontend\Aurelia\Aurelia\src\types\api.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 6, 98
"d:\Frontend\Aurelia\Aurelia\src\types\type.ts", "TypeScript", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 9, 231
"d:\Frontend\Aurelia\Aurelia\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Frontend\Aurelia\Aurelia\tsconfig.app.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"d:\Frontend\Aurelia\Aurelia\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Frontend\Aurelia\Aurelia\tsconfig.node.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\Frontend\Aurelia\Aurelia\updateProductIds.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 10, 49
"d:\Frontend\Aurelia\Aurelia\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"Total", "-", 19662, 7, 28, 21, 106, 320, 50, 12380, 32, 225, 976, 33807
